Year,Month,Darwin,Palmerston
2008,1,75732,27495
2008,2,,
2008,3,,
2008,4,,
2008,5,,
2008,6,75732,27495
2008,7,,
2008,8,,
2008,9,76280,27694
2008,10,,
2008,11,,
2008,12,76645,27827
2009,1,,
2009,2,,
2009,3,77126,28001
2009,4,,
2009,5,,
2009,6,77984,28523
2009,7,,
2009,8,,
2009,9,78408,28678
2009,10,,
2009,11,,
2009,12,78590,28745
2010,1,,
2010,2,,
2010,3,78872,28848
2010,4,,
2010,5,,
2010,6,79318,29055
2010,7,,
2010,8,,
2010,9,79553,29141
2010,10,,
2010,11,,
2010,12,79498,29121
2011,1,,
2011,2,,
2011,3,79472,29111
2011,4,,
2011,5,,
2011,6,80014,29290
2011,7,,
2011,8,,
2011,9,80437,29445
2011,10,,
2011,11,,
2011,12,80502,29469
2012,1,,
2012,2,,
2012,3,80877,29606
2012,4,,
2012,5,,
2012,6,81170,30558
2012,7,,
2012,8,,
2012,9,81971,30715
2012,10,,
2012,11,,
2012,12,82342,30855
2013,1,,
2013,2,,
2013,3,82942,31079
2013,4,,
2013,5,,
2013,6,82655,31117
2013,7,,
2013,8,,
2013,9,83656,32131
2013,10,,
2013,11,,
2013,12,83932,32237
2014,1,,
2014,2,,
2014,3,84311,32383
2014,4,,
2014,5,,
2014,6,84598,32542
2014,7,,
2014,8,,
2014,9,84089,33688
2014,10,,
2014,11,,
2014,12,83907,33615
2015,1,,
2015,2,,
2015,3,84095,33862
2015,4,,
2015,5,,
2015,6,85074,34167
2015,7,,
2015,8,,
2015,9,85366,35105
2015,10,,
2015,11,,
2015,12,85199,35037
2016,1,,
2016,2,,
2016,3,85386,35114
2016,4,,
2016,5,,
2016,6,85753,35265
2016,7,,
2016,8,,
2016,9,86515,36003
2016,10,,
2016,11,,
2016,12,86396,35954
2017,1,,
2017,2,,
2017,3,86466,35983
2017,4,,
2017,5,,
2017,6,86864,36149
2017,7,,
2017,8,,
2017,9,86860,36891
2017,10,,
2017,11,,
2017,12,86612,36786
2018,1,,
2018,2,,
2018,3,86530,36751
2018,4,,
2018,5,,
2018,6,86682,36816
2018,7,,
2018,8,,
2018,9,85367,37790
2018,10,,
2018,11,,
2018,12,84955,37608
2019,1,,
2019,2,,
2019,3,84942,37602
2019,4,,
2019,5,,
2019,6,85094,37660
2019,7,,
2019,8,,
2019,9,83932,38264
2019,10,,
2019,11,,
2019,12,83645,38133
2020,1,,
2020,2,,
2020,3,83862,38232
2020,4,,
2020,5,,
2020,6,84021,38263
2020,7,,
2020,8,,
2020,9,83170,39074
2020,10,,
2020,11,,
2020,12,83191,39083
2021,1,,
2021,2,,
2021,3,83347,39156
2021,4,,
2021,5,,
2021,6,,
2021,7,83347,39156
